Geography,Percent; RACE - One race,Percent; RACE - One race - White,Percent; RACE - One race - Black or African American,Percent; RACE - One race - American Indian and Alaska Native,Percent; RACE - One race - Asian,Percent; RACE - One race - Native Hawaiian and Other Pacific Islander,Percent; RACE - One race - Some other race,Percent; RACE - Two or more races
"Census Tract 2105.02, Cook County, Illinois",97.9,91.7,1.1,0,0,0,5.2,2.1
"Census Tract 2106.01, Cook County, Illinois",99.3,74.4,1.5,0,8.8,0,14.6,0.7
"Census Tract 2106.02, Cook County, Illinois",97.6,90.4,1.6,0.2,0.8,0,4.5,2.4
"Census Tract 2107, Cook County, Illinois",98.7,91,0.3,0.2,3.2,0,4,1.3
"Census Tract 2108, Cook County, Illinois",99.6,74.4,1.6,0,1.2,0,22.4,0.4
"Census Tract 2109, Cook County, Illinois",98.6,70.7,6.3,0,4.9,0,16.7,1.4
"Census Tract 2203, Cook County, Illinois",92.2,80.1,3.9,0.1,2,0,6.1,7.8
"Census Tract 2204, Cook County, Illinois",99.2,79.1,0.9,0.3,6,0,13,0.8
"Census Tract 2205, Cook County, Illinois",98.4,87,5.9,0,3.2,0,2.3,1.6
"Census Tract 2206.01, Cook County, Illinois",98.9,78.4,11.2,0,0.3,1,7.9,1.1
"Census Tract 2206.02, Cook County, Illinois",98.4,78.4,6.3,0,9,0,4.8,1.6
"Census Tract 2207.01, Cook County, Illinois",99.8,86.4,9.5,0.2,1.9,0,1.8,0.2
"Census Tract 2207.02, Cook County, Illinois",97.5,84.1,4.7,0,0.9,0,7.9,2.5
"Census Tract 2209.01, Cook County, Illinois",97.2,73.8,9.2,1.2,2,0,10.9,2.8
"Census Tract 2209.02, Cook County, Illinois",99.2,83.5,7.1,0,0.8,0,7.7,0.8
"Census Tract 2210, Cook County, Illinois",99.4,79.3,10.9,0.6,0.5,0,8.1,0.6
"Census Tract 2211, Cook County, Illinois",96.6,73.6,13.4,0.3,1.8,0,7.4,3.4
"Census Tract 2212, Cook County, Illinois",95.1,72.9,4.8,0,1.4,0,16,4.9
"Census Tract 2213, Cook County, Illinois",97.4,81.5,6.1,1.7,2.4,0,5.7,2.6
"Census Tract 2214, Cook County, Illinois",99.7,91.2,3.5,0,1.9,0,3.1,0.3
"Census Tract 2215, Cook County, Illinois",99,86.7,3.4,0.3,3.2,0,5.3,1
"Census Tract 2216, Cook County, Illinois",98.7,86.3,0.8,0,3.7,0,7.9,1.3
"Census Tract 2222, Cook County, Illinois",98.6,88.3,1.3,0,8,0,1,1.4
"Census Tract 2225, Cook County, Illinois",99.2,83.9,8.5,0,0,0,6.9,0.8
"Census Tract 2226, Cook County, Illinois",99,74.6,11.2,0,5.6,0,7.5,1
"Census Tract 2227, Cook County, Illinois",99.2,82.6,8.7,0.6,0,0,7.3,0.8
"Census Tract 2228, Cook County, Illinois",100,69.8,28.2,0,0,0,2,0
"Census Tract 2229, Cook County, Illinois",100,72.1,14.3,0,0,0,13.6,0
"Census Tract 2301, Cook County, Illinois",98.9,41.1,12.6,0,0.7,0,44.6,1.1
"Census Tract 2302, Cook County, Illinois",94.4,37.9,16.2,0,0,0,40.3,5.6
"Census Tract 2303, Cook County, Illinois",100,29.9,2.7,0,1.3,0,66.2,0
"Census Tract 2304, Cook County, Illinois",95.8,38.8,7.2,0.9,0.6,0,48.2,4.2
"Census Tract 2305, Cook County, Illinois",98.7,33.5,9.4,0.7,0,0,55.2,1.3
"Census Tract 2306, Cook County, Illinois",98.3,19.4,30.9,0.7,0,0,47.3,1.7
"Census Tract 2307, Cook County, Illinois",97,35.9,12,0,0.4,0,48.7,3
"Census Tract 2308, Cook County, Illinois",99.6,51.5,6.7,1.2,0,0,40.2,0.4
"Census Tract 2309, Cook County, Illinois",99.2,29.9,28.9,0,1,0,39.4,0.8
"Census Tract 2311, Cook County, Illinois",99.4,19.2,74,0,0,0,6.2,0.6
"Census Tract 2312, Cook County, Illinois",99.5,11,67.3,0,0,0,21.1,0.5
