GEO.display-label,HC03_VC48,HC03_VC49,HC03_VC50,HC03_VC56,HC03_VC64,HC03_VC69,HC03_VC70
"Census Tract 2209.01, Cook County, Illinois",95.1,64.4,7.6,0,0,21.7,4.9
"Census Tract 2209.02, Cook County, Illinois",98.1,88.2,0.9,0.1,0,8.8,1.9
"Census Tract 2210, Cook County, Illinois",97.7,78.2,7.5,0.2,0,11.1,2.3
"Census Tract 2211, Cook County, Illinois",97.9,73.4,13.2,2,0,8.8,2.1
"Census Tract 2212, Cook County, Illinois",93,76.9,4.2,3.1,0,8.8,7
"Census Tract 2213, Cook County, Illinois",95.8,76.6,5.5,2.8,0,9.5,4.2
"Census Tract 2214, Cook County, Illinois",98.5,89.7,2.1,2.8,0.3,3.7,1.5
"Census Tract 2215, Cook County, Illinois",98.2,84.2,4.1,5.6,0,4.3,1.8
"Census Tract 2216, Cook County, Illinois",97.6,85.1,2.9,4.5,0,5,2.4
"Census Tract 2222, Cook County, Illinois",96.5,85.9,3.2,6.1,0,1.3,3.5
"Census Tract 2225, Cook County, Illinois",97.7,82.2,9.3,0,0,6.1,2.3
"Census Tract 2226, Cook County, Illinois",96.7,78.6,5,4.1,0,8.5,3.3
"Census Tract 2227, Cook County, Illinois",99,81.2,12,0.6,0,4.7,1
"Census Tract 2228, Cook County, Illinois",99.4,84.5,7.8,0,0,7.2,0.6
"Census Tract 2229, Cook County, Illinois",99,80.8,9.1,0,0,9.2,1
"Census Tract 2301, Cook County, Illinois",97.8,36.9,24.3,1.5,0,35.1,2.2
"Census Tract 2302, Cook County, Illinois",92.2,31.3,20.8,0.3,0,38.4,7.8
"Census Tract 2303, Cook County, Illinois",99.7,31.6,3.6,1.2,0,60.9,0.3
"Census Tract 2304, Cook County, Illinois",98.3,46.4,3.6,0.9,0,47,1.7
"Census Tract 2305, Cook County, Illinois",95.7,27.5,8,2.3,0,57.1,4.3
"Census Tract 2306, Cook County, Illinois",96.2,18.9,36.8,0,0,40.5,3.8
"Census Tract 2307, Cook County, Illinois",98.2,25.9,13.4,0.6,0,57.8,1.8
"Census Tract 2308, Cook County, Illinois",97.2,39.1,9.8,0,0,47.3,2.8
"Census Tract 2309, Cook County, Illinois",98.3,31.2,24.8,1.1,0,41.3,1.7
"Census Tract 2311, Cook County, Illinois",97.9,26.7,58.8,0,0,12.4,2.1
"Census Tract 2312, Cook County, Illinois",99.3,8.4,57.7,0,0,33.2,0.7
"Census Tract 2315, Cook County, Illinois",98.9,3.5,91.3,0,0,4.2,1.1
"Census Tract 2402, Cook County, Illinois",97.5,89.6,1.3,3.2,0,3.4,2.5
"Census Tract 2403, Cook County, Illinois",97.7,88.3,0,8.9,0,0.4,2.3
"Census Tract 2405, Cook County, Illinois",94.6,87.8,0.4,3.4,0,3,5.4
"Census Tract 2406, Cook County, Illinois",97,84.8,8.9,1.5,0,1.9,3
"Census Tract 2407, Cook County, Illinois",94.7,73.2,12.4,5,0,4,5.3
"Census Tract 2408, Cook County, Illinois",96,74.4,9.1,0.1,0,12.4,4
"Census Tract 2409, Cook County, Illinois",91,50,9.9,8.2,0,22.8,9
"Census Tract 2410, Cook County, Illinois",99,55.9,26.3,0.5,0,16.3,1
"Census Tract 2411, Cook County, Illinois",91.4,65.1,9.6,4.8,0,12,8.6
"Census Tract 2412, Cook County, Illinois",97.2,71.9,8.5,11.4,0,5.4,2.8
"Census Tract 2413, Cook County, Illinois",98.1,75.9,9.7,0.5,0,12,1.9
"Census Tract 2414, Cook County, Illinois",92.7,72,12.2,5.6,0,2.9,7.3
"Census Tract 2415, Cook County, Illinois",96.7,84.2,3,5.1,0,4.4,3.3
"Census Tract 2416, Cook County, Illinois",96.7,81.2,2.2,7.3,0,6.1,3.3
"Census Tract 2420, Cook County, Illinois",95.3,63.5,14.6,1.6,0,15.7,4.7
"Census Tract 2421, Cook County, Illinois",96.8,83,3.4,3.5,0,6.4,3.2
"Census Tract 2422, Cook County, Illinois",98.2,86.6,3.7,2.4,0,3.9,1.8
"Census Tract 2423, Cook County, Illinois",97,84.6,3.9,3.9,0,3.6,3
"Census Tract 2424, Cook County, Illinois",98.8,89.9,2.5,3.9,0,2.6,1.2
